id,image,name,seller,create_at,price
1,http://dummyimage.com/182x219.gif/5fa2dd/ffffff,L OCCITANE IMMORTELLE PRECIOUS PROTECTION BROAD SPECTRUM SPF 20 SUNSCREEN,22,2015-07-09 08:35:12,14.9
2,http://dummyimage.com/247x107.gif/5fa2dd/ffffff,healthy accents ibuprofen pm,2,2015-07-03 15:24:10,6.66
3,http://dummyimage.com/160x181.gif/ff4444/ffffff,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,24,2015-11-14 14:02:34,15.97
4,http://dummyimage.com/200x224.jpg/ff4444/ffffff,CONDITION AND ENHANCE HEALTHY SKIN PROTECTION,28,2015-09-22 01:01:20,16.81
5,http://dummyimage.com/249x201.jpg/dddddd/000000,Methocarbamol,37,2015-05-09 11:15:42,14.31
6,http://dummyimage.com/240x143.gif/cc0000/ffffff,Mesna,13,2016-02-19 20:52:38,3.48
7,http://dummyimage.com/155x136.gif/ff4444/ffffff,Doxazosin,23,2015-07-12 03:19:15,14.67
8,http://dummyimage.com/183x124.gif/dddddd/000000,Mineral Wear Talc-Free Airbrushing Loose Powder,11,2015-06-22 02:24:54,16.61
9,http://dummyimage.com/209x196.gif/5fa2dd/ffffff,ALAVERT ALLERGY,36,2015-04-13 16:01:23,19.41
10,http://dummyimage.com/103x199.jpg/ff4444/ffffff,Rite Aid,12,2015-12-20 02:10:23,5.25
11,http://dummyimage.com/183x129.gif/5fa2dd/ffffff,Icy Hot Back and Large Areas,50,2016-01-07 15:54:17,2.65
12,http://dummyimage.com/183x212.jpg/cc0000/ffffff,Androbalance,8,2015-11-29 01:41:03,4.94
13,http://dummyimage.com/155x198.png/dddddd/000000,GBGF,24,2015-10-27 17:42:35,6.68
14,http://dummyimage.com/186x155.jpg/ff4444/ffffff,Baclofen,28,2015-05-03 15:53:40,7.38
15,http://dummyimage.com/186x215.png/ff4444/ffffff,Sterile Diluent for Allergenic Extract,41,2015-06-08 02:14:19,2.05
16,http://dummyimage.com/175x196.gif/dddddd/000000,Hydromorphone Hydrochloride,47,2016-01-16 22:03:38,10.79
17,http://dummyimage.com/159x223.png/5fa2dd/ffffff,SELEGILINE HYDROCHLORIDE,27,2015-05-19 05:01:40,14.73
18,http://dummyimage.com/173x167.gif/ff4444/ffffff,Actoplus Met,45,2015-05-08 11:41:57,16.91
19,http://dummyimage.com/197x225.gif/dddddd/000000,Ondansetron,35,2015-07-19 02:45:26,18.54
20,http://dummyimage.com/145x242.gif/dddddd/000000,Alco Hand Sanitizer,13,2016-01-21 05:42:57,15.41
21,http://dummyimage.com/193x177.gif/ff4444/ffffff,Arroyo Willow,6,2015-11-28 08:18:56,2.88
22,http://dummyimage.com/165x143.jpg/5fa2dd/ffffff,Tinted BB,30,2016-01-22 22:43:24,3.62
23,http://dummyimage.com/112x216.jpg/ff4444/ffffff,Glimepiride,24,2015-10-26 01:10:32,19.07
24,http://dummyimage.com/108x157.jpg/ff4444/ffffff,Carbatrol,3,2015-07-08 10:50:36,10.04
25,http://dummyimage.com/209x159.gif/5fa2dd/ffffff,amlodipine besylate,1,2015-11-09 07:03:04,1.85
26,http://dummyimage.com/161x175.jpg/ff4444/ffffff,Oxycodone and Acetaminophen,1,2016-01-14 16:42:52,9.5
27,http://dummyimage.com/169x163.jpg/cc0000/ffffff,Nizatidine,45,2016-03-01 00:14:46,18.02
28,http://dummyimage.com/142x128.gif/cc0000/ffffff,Leader Allergy,43,2015-05-02 03:58:27,14.55
29,http://dummyimage.com/237x198.jpg/dddddd/000000,Polytrim,42,2015-08-28 05:46:49,4.35
30,http://dummyimage.com/201x203.gif/dddddd/000000,Galantamine Hydrobromide,31,2015-04-24 16:47:59,3.39
31,http://dummyimage.com/183x174.jpg/cc0000/ffffff,Humulin N,34,2015-08-01 17:58:20,18.49
32,http://dummyimage.com/126x209.jpg/5fa2dd/ffffff,Bethanechol Chloride,15,2015-06-17 04:43:22,2.44
33,http://dummyimage.com/211x116.jpg/5fa2dd/ffffff,bareMinerals,34,2016-03-02 04:31:10,11.56
34,http://dummyimage.com/127x161.gif/ff4444/ffffff,Acetaminophen,18,2015-08-06 11:13:06,10.59
35,http://dummyimage.com/162x164.gif/dddddd/000000,SOLAR SENSE CLEAR ZINC SUNSCREEN FACE and LIPS BROAD SPECTRUM SPF 50,3,2015-11-01 16:03:50,5.82
36,http://dummyimage.com/193x177.jpg/5fa2dd/ffffff,INDIGESTION,33,2015-06-14 12:57:42,13.27
37,http://dummyimage.com/191x225.png/cc0000/ffffff,METFORMIN HYDROCHLORIDE,22,2015-05-12 06:22:20,15.93
38,http://dummyimage.com/137x243.jpg/cc0000/ffffff,Antacid Supreme Cherry,45,2015-12-04 15:37:06,10.61
39,http://dummyimage.com/234x181.jpg/5fa2dd/ffffff,Non-Aspirin PM,50,2015-11-08 01:45:05,16.57
40,http://dummyimage.com/191x241.jpg/ff4444/ffffff,Cold-EEZE,27,2016-01-05 16:02:09,1.63
41,http://dummyimage.com/149x166.png/5fa2dd/ffffff,ondansetron hydrochloride,1,2015-07-11 19:39:54,15.59
42,http://dummyimage.com/210x167.gif/dddddd/000000,Sentrazolpidem PM-5,20,2015-04-02 09:01:48,5.46
